"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs"
"0",0,5.96356838304785,5.9644940145121,6.0911589510388,7.34937197721682,11.1015731907026,17.1546318720884,24.2238649900501,31.1100373301041,37.1088401626825,41.944515252864,45.6028691389921,48.1983983374565,49.8932187897123,50.8543073810301,51.2338753985368,51.16229188067,50.7472493537697,50.0757074974606,49.2168233937882,48.2250005737027,47.1426767203708,46.002716608158,44.8303948380992,43.6450041366798,42.461142752,907.303732924734
"1",1,3.39923329005597,3.39963677454444,3.45485025755158,4.00330767161732,5.63889920642599,8.27743881975803,11.3589307727404,14.3606261898587,16.9755155771036,19.0833954035265,20.6780787126145,21.8094747502521,22.5482501588756,22.9671904754318,23.1326448849893,23.1014414955138,22.920523680887,22.627797328286,22.2534081392683,21.8210707148435,21.349283720567,20.8523729731226,20.3413557184273,19.8246416920808,19.3085942977646,415.487962706107
"2",2,3.91960812606791,3.92009938703756,3.98732434852789,4.65509653987639,6.6465046516816,9.85904829566876,13.6109068379969,17.2656094184411,20.4493578216401,23.0157987060019,24.9573991666876,26.3349260119091,27.2344191373165,27.7444982903306,27.9459466631759,27.9079550976812,27.6876793161365,27.3312714840447,26.8754353830898,26.3490446334965,25.7746222135636,25.1696104656765,24.5474233947513,23.9183002416589,23.2899887438024,500.397874376261
"3",3,4.49126815961193,4.49186241754604,4.57318165356125,5.38095786092245,7.78988131221788,11.6759615568622,16.2144285717247,20.6353700660129,24.4866179071891,27.5911345535023,29.9398077637124,31.6061446147936,32.6942239849778,33.3112454917341,33.5549291981002,33.5089723836587,33.2425139451449,32.8113822349436,32.2599762890564,31.6232233232914,30.9283684464216,30.1965109335618,29.4438771477699,28.6828530722663,27.9228108222962,599.05750371088
"4",4,3.51455092145846,3.51499845830685,3.57624013891629,4.18457802942307,5.99874313777727,8.92535800563749,12.3432866655757,15.6727066189993,18.573089133574,20.9111068796412,22.6798974099497,23.9348190523832,24.7542538199956,25.2189339608525,25.4024526514635,25.3678424818435,25.1671720945307,24.8424859342745,24.4272210046107,23.9476810621893,23.4243844533621,22.8732210847615,22.3064110631239,21.7332822973867,21.1608929464385,454.455609306475
"5",5,2.12038452769772,2.1214136343876,2.26223829148702,3.66110543521462,7.83276069946193,14.5624835144979,22.4219776814804,30.0779469268539,36.7473486971442,42.1235980767463,46.190914934034,49.0765952129502,50.9608776006314,52.0294051270787,52.4514045957321,52.3718188426896,51.9103792119984,51.1637665010474,50.2088687787223,49.1061712811202,47.9028557488548,46.6354608698027,45.3320866621828,44.0141825631188,42.6979787412692,895.984024156204
"6",6,9.66807580948483,9.67413955616843,10.5039126553582,18.7463777826553,43.3267842871916,82.9799463962816,129.289995838806,174.400826987857,213.698562843647,245.37673058511,269.342349842223,286.345479248862,297.448128946572,303.744152778277,306.230676190962,305.761737595168,303.04282316403,298.643599648627,293.017110234181,286.51974862933,279.429521114655,271.96172251781,264.281924974279,256.516513779681,248.761121031588,5208.71196243881
"7",7,3.70333310909002,3.70371461571536,3.75592061167645,4.27450346470617,5.82100407306634,8.31582202141048,11.2294646262566,14.0676572250147,16.5401131787818,18.5331764617209,20.040997121807,21.1107658405034,21.8093000371916,22.2054206092491,22.3618626912671,22.3323589552917,22.1612957622945,21.8845142598557,21.5305181084589,21.1217301710917,20.6756414881062,20.2057975467132,19.7226154817233,19.2340469491241,18.7461087370045,405.087683147121
"8",8,4.85862000209372,4.85926951634814,4.94815011838862,5.83103637190434,8.46395051512741,12.7113730026795,17.671843616869,22.5038607490089,26.7132119862336,30.1063981755058,32.6734597853904,34.4947388551865,35.6839919056173,36.3583863746229,36.6247287013661,36.5744986508199,36.283263912345,35.8120439668666,35.2093662384386,34.5134056057335,33.7539405294089,32.9540321739166,32.1314156901038,31.2996287561315,30.4689149414948,653.503530141602
"9",9,2.38786928504757,2.38826319174471,2.44216603398693,2.97760433377935,4.57437069720726,7.15027746456133,10.1586219044655,13.0890639942571,15.6418819373542,17.6997255574449,19.2565547620968,20.3610940667874,21.0823326508179,21.4913282903307,21.6528551937413,21.6223925007773,21.4457692578753,21.1599915538614,20.7944895008537,20.3724147699196,19.9118269109517,19.4267116787811,18.9278247953122,18.4233763684144,17.9195787492399,382.35838544961
"10",10,7.68495071463517,7.68605351567362,7.83696262900128,9.3360026740559,13.8063902468213,21.0180286337053,29.4403413193725,37.6445546601331,44.791552411172,50.5527951055626,54.911372596169,58.0036964917699,60.0229123751299,61.1679571769682,61.6201760351634,61.5348911449139,61.0404078139678,60.2403301533546,59.2170521879557,58.0353905027136,56.7459055235358,55.3877524743952,53.9910436163208,52.5787643810145,51.1683071798047,1095.46359156331
"11",11,3.95128621709068,3.95177168645561,4.01820411520389,4.67810376465498,6.64603464275966,9.82070476526423,13.5283316610066,17.1399479920383,20.2861623484176,22.8223467865676,24.7410572090445,26.1023440281847,26.9912327926919,27.4952984884895,27.6943719335136,27.6568282605712,27.4391493681178,27.0869433216455,26.6364811923079,26.1162962016309,25.548645798602,24.9507666932468,24.3359147492516,23.7142084943852,23.0933043259377,496.44573683708
"12",12,4.9448498258594,4.9455932871937,5.0473297626243,6.0579185027626,9.07166277196673,13.9334411986188,19.6114045019601,25.1423345469696,29.9605350192127,33.844518649512,36.7828853392868,38.8675979659204,40.2288670276536,41.0008073020374,41.3056739316367,41.248178503096,40.914818972049,40.3754408028537,39.6855905261548,38.8889647137236,38.0196490441165,37.1040402961221,36.1624388693436,35.2103405596019,34.2594705873873,732.614352507663
"13",13,14.3989747180577,14.4009137489116,14.6662539296641,17.30198312944,25.1621674512164,37.8422328952605,52.6510003784852,67.0762885719345,79.6426978051581,89.7725643465473,97.4361554556552,102.873320669279,106.42366362508,108.436970760679,109.232097250573,109.082142700478,108.212703516063,106.805944531123,105.006737350643,102.929047552879,100.66177442465,98.273763736614,95.8179612162229,93.3347816433927,90.8548057131115,1948.29694712112
"14",14,130.173080485108,130.189718526851,132.466495605755,155.082624875088,222.527696514917,331.330224198899,458.398285572038,582.175865817446,690.003155394115,776.923454793849,842.681639362139,889.335761242525,919.799822287069,937.075198847547,943.897858581496,942.61115906405,935.15085206885,923.080020567297,907.64174937483,889.813931155951,870.35937483762,849.868818212242,828.796567213982,807.489404769954,786.209731490605,16883.0824908602
"15",15,8.54284207016327,8.54387097392757,8.68466786235595,10.0832591688662,14.2540918404998,20.9824876474468,28.8404320310844,36.4948916254074,43.1629782820829,48.5381675398033,52.6046823785653,55.4897936413158,57.3737044746197,58.4420213022448,58.8639375584504,58.7843674986157,58.3230188574257,57.5765533681559,56.62184393843,55.519363877495,54.3162856223789,53.0491406560353,51.746023455749,50.4283792291118,49.112434944418,1056.37923984465
"16",16,76.8552195470685,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,216.217813242555
"17",17,7.25108788663525,7.25200931610392,7.37809924462512,8.63060048834372,12.3657682133585,18.3913484362616,25.4284900713943,32.2834019511238,38.2549726250107,43.0686956899112,46.7104421167915,49.2941886537826,50.9813153009914,51.938040935605,52.31588586656,52.2446273091517,51.8314689088466,51.1629755832042,50.3079904688572,49.3206701265467,48.2432595893801,47.1084744388294,45.941474539379,44.7614650362742,43.5829779074245,936.049730704392
"18",18,3.44490967803673,3.4453427314392,3.50460247341532,4.0932529818106,5.84870703129626,8.68060909876072,11.9879247776433,15.2095961198829,18.0161147806274,20.2784682462535,21.9900161559907,23.204325299548,23.9972410460092,24.4468829398073,24.6244624925755,24.5909723972512,24.3967962208945,24.0826177416541,23.6807918554485,23.2167710615652,22.7104096797828,22.177083378399,21.6286167899993,21.0740359483455,20.5201705921123,440.850721518549
"19",19,286.825273812696,29.0411113467153,29.2224186624864,31.0234161026608,36.3942910180436,45.058597430064,55.1774489159046,65.0342684679243,73.620913432492,80.542665375712,85.779207874547,89.4944304521831,91.9203847481262,93.296080323304,93.8393913633893,93.7369272100588,93.1428382021095,92.18159782467,90.9521970475859,89.5325087095097,87.9832778171769,86.3515467817473,84.673493492671,82.9767334254605,81.2821624116741,2069.08318224891
"20",20,8.18302071626956,8.18387017812838,8.30011194019725,9.4547874426012,12.8982224819468,18.4531789389155,24.9406895053004,31.2602032449928,36.7653685313277,41.2031190934711,44.5604294404065,46.9423742453691,48.4977290354379,49.3797302776326,49.7280638922052,49.6623709350216,49.2814819851406,48.6652008672488,47.8769937725192,46.9667874010618,45.9735272669603,44.9273737238769,43.8515215425229,42.7636758635887,41.6772336549238,900.397065977067
"21",21,4.56292710424702,4.5634639850479,4.63693163950007,5.36671497472462,7.54305066593042,11.0539198597029,15.1541862017047,19.1482744146689,22.627674363191,25.4324419358927,27.5543447018815,29.0597924406335,30.0428149467755,30.6002614387648,30.8204168560092,30.7788972903006,30.5381660999223,30.1486612661273,29.6504949837026,29.0752221558632,28.4474573059976,27.7862625198962,27.106297463495,26.4187522214514,25.7320940071587,553.84952084259
"22",22,4.35124681091488,4.35183257504518,4.43198950493525,5.22822006480187,7.60271246854153,11.4332484767607,15.9068466085812,20.264599026957,24.0608004956562,27.1209438929027,29.4360472198729,31.0785669075932,32.1510942217256,32.7592965620485,32.9994972663799,32.9541973184995,32.6915474041475,32.2665779140071,31.723053283043,31.0954015079505,30.4104782797168,29.6890812988494,28.9472050029465,28.1970583408039,27.4478794708383,588.599421923519
"23",23,14.4110382235838,14.412989242353,14.6799698692057,17.3319942703898,25.2407736020935,37.9992326156655,52.8995542117962,67.4140256857217,80.0581258173312,90.2506195115948,97.9615902075903,103.432370294189,107.004662983497,109.030417241992,109.830459542774,109.679577909731,108.804763481675,107.38930731305,105.578976666858,103.488441705137,101.207151327991,98.8043769399775,96.3333916016049,93.8348599541855,91.3395517555989,1958.41822197559
"24",24,6.15910378262961,6.15985910872048,6.26321917701187,7.28993570865008,10.3517757434979,15.2911423577771,21.0597191863472,26.6789162810711,31.5740094887414,35.5199768674149,38.5052363865284,40.6232185413532,42.0062118344487,42.7904713553283,43.1002032928834,43.0417903058475,42.7031107541059,42.1551247523602,41.4542652876634,40.6449262769785,39.7617373656557,38.8315165936038,37.8748883306022,36.9075956668992,35.9415509435259,772.689505389646
"25",25,2.65147722607388,2.65271381238099,2.82193032256981,4.50282499794093,9.51553342604216,17.6020449273234,27.0461025389616,36.2456022892105,44.2596313368287,50.7197937590868,55.6071279702857,59.0745942249641,61.3387693802322,62.6227242130741,63.1298035758639,63.0341724295292,62.4797013193084,61.5825629913198,60.4351470239226,59.1101331649758,57.6642155308062,56.1412994244814,54.5751501475984,52.9915415878438,51.4099761005348,1079.21457372116
"26",26,36.9196177910875,36.9247665819846,37.6293356220116,44.6280991970979,65.4995801251799,99.1694958991634,138.491844516132,176.795924304381,210.164043919472,237.062308345266,257.411766974528,271.849302458853,281.27667874631,286.622698605743,288.734031710649,288.335851031385,286.027192275717,282.291765455857,277.514254291264,271.997276417302,265.976889882157,259.635903781702,253.114907152466,246.521215074312,239.936029764145,5140.53077992417
"27",27,3.45815393925596,3.45859961035822,3.51958597918868,4.12538775658588,5.93198975242313,8.8464037916832,12.2500833742299,15.5656232361403,18.453914282745,20.7821850156001,22.5436015964604,23.7932915686683,24.6093101767927,25.072053102468,25.2548067180042,25.2203408354757,25.0205070273205,24.6971744582846,24.2836407356498,23.806099957761,23.2849849315881,22.7361193199847,22.1716722850177,21.6009328483014,21.0309297438116,451.517392043799
"28",28,3.52807024700821,3.52862333690264,3.60430907045626,4.35612546467141,6.59816741464363,10.215034079612,14.4390925196653,18.5537671820074,22.1382145063977,25.0276614714635,27.2136270990699,28.764526161844,29.7772273298867,30.3515038190125,30.5783059998388,30.535532907232,30.2875337453032,29.8862692801684,29.373062743249,28.7804217192072,28.1337038742515,27.4525468020533,26.7520527619441,26.0437496810386,25.3363604083459,541.255489625273
"29",29,13.3475844754682,13.3493399259699,13.5895586684889,15.975746663821,23.0917574707411,34.571320676694,47.9780481952642,61.0376028412198,72.414270390867,81.585078202775,88.5231085236599,93.4455028130617,96.6597122778143,98.4824068544388,99.2022536752413,99.0664962737175,98.2793724126253,97.0058002252864,95.3769354027769,93.4959536790591,91.4433376814905,89.2814151148623,87.0581189987204,84.8100377893742,82.564856913413,1771.63561614685
"30",30,13.2172114764406,13.2253509291459,14.339167064509,25.4031442685374,58.3977706372049,111.624769461825,173.787402052487,234.340307012309,287.090212163678,329.612263557769,361.781652332371,384.605192771649,399.508436068724,407.959677666255,411.297373116626,410.667910224903,407.018273032482,401.113133254742,393.56061714958,384.839117019198,375.321804615419,365.297673222234,354.988972652573,344.565351671466,334.155178592417,6997.71796201454
"31",31,47.190085843015,47.1961230840098,48.0222691010171,56.2287049831721,80.7016662661678,120.181497523841,166.289117705443,211.202761584796,250.328720218989,281.868417193081,305.729278570377,322.658084348331,333.712202437898,339.980705257073,342.456359644508,341.989470860677,339.28244127625,334.9024475301,329.300552477082,322.831591967101,315.772357067049,308.337201513537,300.690973697516,292.959506462551,285.238013881724,6125.05055049531
"32",32,12.1530906816637,12.1546281550415,12.3650185483391,14.4549097265025,20.6873139788872,30.7414412816064,42.4834337917983,53.9213624456661,63.8853708119037,71.9174246065882,77.9939484973343,82.3051211379588,85.1202170223971,86.716584669718,87.3470469482002,87.2281467624773,86.5387613424532,85.4233306704858,83.9967246236687,82.3493074384451,80.551568084351,78.6580949344118,76.7108690877228,74.7419357528816,72.7755426123448,1563.22119361285
"33",33,26.8871567530444,26.8907245641434,27.3789497205343,32.228683737883,46.6913998967321,70.0226832210645,97.2707720704452,123.813260148422,146.935416377321,165.574341180808,179.675326403436,189.679694491288,196.212315144224,199.916794384244,201.379824799683,201.103908866167,199.504143310195,196.915710893064,193.605174944161,189.782231794095,185.610455870557,181.216523190164,176.697853736548,172.128810586529,167.56566212943,3594.68781821418
"34",34,111.348719147247,111.362906250166,113.304292817214,132.58885517905,190.098638331927,282.873538283187,391.223288347211,496.767275862193,588.710599380804,662.826727491044,718.898117780974,758.679652106522,784.656072651876,799.386625021705,805.20424330404,804.1070866337,797.74575248257,787.453067112816,774.288997345416,759.087383129156,742.498664517107,725.026558111761,707.058446343351,688.890027777456,670.745048965739,14404.8305843742
"35",35,45.0287885385053,45.0345996749659,45.8298051745136,53.7288966315117,77.285305549337,115.286552654593,159.667367165187,202.898921735853,240.559549325264,270.91803314235,293.885266295523,310.180060651815,320.820183967202,326.853921119135,329.236858206938,328.787455170506,326.181808264681,321.965852436994,316.573757501783,310.347070126918,303.552215101828,296.39551826564,289.035654167862,281.593743006578,274.161432932345,5885.80861680783
"36",36,22.917034241616,22.9202017286882,23.3536458848646,27.6592185111688,40.4991545927747,61.2125657733551,85.4032997495524,108.967604450332,129.495353511238,146.04290934225,158.561702282499,167.443536467309,173.243168480259,176.531988929687,177.830860926714,177.585903969022,176.165639112917,173.867640146299,170.928560825866,167.534568635787,163.830884236765,159.929970041709,155.918315085538,151.86193858226,147.810795361546,3167.51646087002
"37",37,6.21794710011321,6.22109784557453,6.65225105209949,10.9350667673528,23.7071379425526,44.3110693171444,68.3739442536429,91.8137008785698,112.232951442295,128.693045908968,141.145671330484,149.980560978979,155.749539296986,159.020976833402,160.312983700731,160.069321452054,158.65656334216,156.370710346037,153.447165397561,150.071112001013,146.387003259806,142.506707171807,138.516255638022,134.48131893086,130.451587845982,2736.3256900342
"38",38,13.7465518605073,13.7483155499523,13.9896617230538,16.38704893329,23.5364576679689,35.0698984793747,48.5395484596015,61.6603961634882,73.0904583932824,82.3043080140215,89.2749009379901,94.2203977455497,97.4496926195881,99.2809417394038,100.004167053125,99.8677724946302,99.0769543859373,97.7974048788525,96.1608952239858,94.2710853951079,92.2088357526976,90.0367665272659,87.8030357047852,85.5444034639887,83.288685168856,1788.3585843363
"39",39,89.9554373635697,89.9675953975564,91.6313208246757,108.157765015044,157.442379508403,236.948420534554,329.801764254561,420.250631414087,499.044029796536,562.559915292807,610.611858858649,644.703755501296,666.964974415858,679.588732583948,684.574303013804,683.63406396973,678.18254104417,669.361936918412,658.08061975668,645.053171986037,630.837006371914,615.863796921874,600.465521826215,584.895588227373,569.345741980371,12207.9228727781
"40",40,143.028332963714,143.046597558759,145.545954874771,170.373061873053,244.411638066519,363.850820798665,503.341195928987,639.219408869168,757.588013141547,853.005736829837,925.192514012058,976.407594278062,1009.84985551331,1028.81409193037,1036.30374240108,1034.89125372038,1026.70161888923,1013.45072959344,996.503195990345,976.93251060935,955.576055419017,933.082319389553,909.950021904066,886.559847770911,863.199850173477,18536.8259624997
"41",41,5.92492547324696,5.925744571868,6.03783137838973,7.15123406026454,10.4715866612222,15.8279862765343,22.0836067069201,28.1772352036445,33.485623388211,37.7647506123489,41.0020569693138,43.298861334178,44.798621388777,45.6490963026658,45.9849790505416,45.921634228073,45.5543598055958,44.960107093019,44.2000737405164,43.3224018639326,42.3646449055443,41.3558851647367,40.3184883363406,39.2695267069742,38.2219183821148,819.073179604974
"42",42,2.94033340331907,2.94081844537017,3.00719239978778,3.66651120053243,5.632709890863,8.80458564450319,12.5089490587629,16.1173864175437,19.2608314520411,21.7947835212976,23.711805080221,25.0718936843165,25.960000042151,26.4636220554771,26.662520274536,26.625009647821,26.4075223579896,26.0556263259668,25.6055606968323,25.0858335769532,24.5186828241401,23.9213299765352,23.3070192299124,22.6858602056351,22.0655025617741,470.821889974282
